,news
1194,"Kerala BJP, Pinarayi on same page over paddy bonus cut"
1195,INDIA bloc united on no-confidence motion against Speaker over his remark on Oppn MPs: Congress’s Jothimani
1196,IRCTC launches E-Pantry service on 25 trains: Here’s how railway passengers can book online meal
1197,"‘Honesty might come at a price’: ‘Mohammad’ Deepak’s gym, with 150 members once, now down to 15"
1198,"Villagers flee, houses and govt quarters burnt down as violence rocks Manipur’s Ukhrul district"
1199,Lok Sabha adjourned as Opposition insists Rahul Gandhi should be allowed to speak first
1200,"Wedding rituals for free, ear piercing for Rs 50: Tirupati priests make their services available to public"
1201,‘This has become a one-sided Parliament’: Oppn to move no confidence motion against Lok Sabha Speaker Birla
1202,Indian Railways: Luggage theft in train? Whom should passengers contact for help
1203,Parliament Budget Session 2026 Highlights: Lok Sabha Speaker Om Birla steps aside after Oppn’s no-confidence motion
1204,"Gold Today Rate, February 9: Check 18, 22 and 24 carat gold prices Chennai, Mumbai, Delhi, Kolkata and other cities"
1205,"INCOIS to launch mobile apps that track jellyfish, issue storm surge alerts today"
1206,"Bifurcation of Malappuram, more holidays for Eid: Clerics’ body in Kerala issues demands ahead of polls"
1207,Former CJI Gavai backs ‘People’s Charter’ to ‘save Goa’
1208,"Dogs’ unusual barking alerts family, 6-year-old girl found in pool of blood"
1209,"‘Maoist issue not linked to development’: In Chhattisgarh, Amit Shah reiterates March deadline to uproot Naxalism"
1210,"Free NEET coaching, Rs 10-lakh pilgrim insurance: Vaishno Devi shrine board’s new decisions"
1211,"Once attacked by mob, now escorted by CM: Kuki-Zo MLA injured in 2023 attack airlifted from Manipur to Gurgaon"
1212,"‘My daughter didn’t bow, how can I’: Ankita Bhandari’s parents join mahapanchayat seeking justice"
1213,"5 girls go out to play in Bihar village, only 1 returns — mystery continues"
1214,"Maharashtra Zilla Parishad Election Results 2026 LIVE Updates: ‘We have broken the 2017 poll record, Oppn lacked will to fight,’ CM Fadnavis on BJP’s spectacular show"
1215,"Exclusive: From file disposal to output, Union Secretaries now get a report card each"
1216,"From business to tech, India inks key pacts with Malaysia"
1217,"Only ERO, not micro observers, can accept or reject eligibility of electors: Election Commission"
1218,Former consumer  affairs secretary is USISPF Global Value Chains Committee Chair
1219,Security info channel opens with Canada post Ajit Doval visit
1220,"IRCTC Divine East Temple Tour: Railways to operate Bharat Gaurav Deluxe Tourist train – check journey date, route, ticket price"
1221,"Assam BJP posts, then deletes, AI video showing Himanta taking aim at men in skullcaps"
1222,"Himanta escalates ‘Pakistan links’ claim against Gaurav Gogoi and wife, Congress leader calls it worse than C-grade cinema"
1223,MGR song at lunch table: PM Modi lauds ‘shared affection’ for Tamil during Malaysia visit
1224,Why Karnataka is demanding a third bullet train corridor
1225,Karnataka set to get another Vande Bharat train; check route
1226,‘Will step down whenever Sangh asks me to’: Mohan Bhagwat on leading RSS
1227,‘Gogoi’s wife Elizabeth worked for Pak agent Ali Tauqeer Sheikh’: Assam CM Himanta Biswa Sarma
1228,"On terrorism, no double standards, no compromise: PM Modi in Malaysia"
1229,"On way to deliver 1st wedding invite to temple, 3 of family killed after Audi crashes into them"
1230,"UP court acquits 22 in Muzaffarnagar riots murder, arson case"
1231,‘Reduced to near skeleton’: Maoist party is now one-tenth of what it used to be in 2024
1232,"27 deaths later, Meghalaya orders massive crackdown on rat-hole mines"
1233,Hyderabad scientists identify metabolic trigger behind deadly fungal infections
1234,Turkish singer’s performance cancelled after NSUI protest at Udaipur music fest
1235,Tamil Nadu slows land push for Hosur airport but keeps project alive
1236,When even National Conference cheered as BJP’s Devyani Rana tore into J&K Budget
1237,"No consent, no selfie: Goa police will detain anyone clicking photos of tourists without permission"
1238,Two arrested for gang rape of spa worker in Kerala town
1239,"March 2026 deadline around the corner, 51 Maoists surrender in Sukma, Bijapur"
1240,‘Kerala always felt like home’: Britain-born Pepita Seth is now an Indian citizen
1241,Trust has become India’s strongest currency: PM Modi in Malaysia
1242,4 Indian students injured in knife attack in Russia
1243,Elephant attacks claim two more lives in Bokaro; toll reaches eight since January
1244,"LS Speaker, RS deputy chairman flag concerns on disruption in legislatures – ‘Adversely affect image of democratic institutions’"
1245,"Months after Pahalgam attack, Amit Shah advocates ‘aggressive marketing’ of J&K tourist places"
1246,A second-time mom at Kuno: Aasha gives birth to 5 cubs
1247,"Meet India’s first Dalit Cardinal Poola Anthony, picked to lead Catholic church in country"
1248,"‘How is this a matter of celebration?’: Chidambaram slams India-US ‘trade deal’, says it’s only a framework"
1249,"India trusted partner for growth, says PM Modi on Day 1 of Malaysia visit"
1250,"IRCTC releases revised food menu for Vande Bharat Sleeper train; check full veg, non-veg meal options"
1251,"A burglary, a manhunt and an acquittal: how a high-profile theft case against a lone accused collapsed in Odisha court"
1252,MP’s Kuno national park celebrates five cubs born to Namibian cheetah ‘Aasha’: Watch
1253,"Indian Railways makes ID verification mandatory on reserved trains in Bangladesh, Nepal border areas"
1254,"Ambush expert who decided against surrender: Who is L Prabhakar Rao, Maoist leader killed in Gadchiroli?"
1255,"Top News Headlines of February 7, 2026 | Work at Mithi river takes a hit: No desilting in 8 stretches for 6 months"
1256,Bihar revenue officers call off strike after govt restores deputy collector land reforms post
1257,"PM Modi embarks on 2-day visit to Malaysia, aims to deepen defence, economic ties"
1258,‘Namaste Trump scores over Howdy Modi’: Congress’s jab at PM over India-US trade framework
1259,Kerala issues order to block National Population Register in state after Union Budget allocation
1260,"India-US trade deal: 25 per cent penalty is off, monitoring of Russian oil imports in"
1261,Late-night standoff and 31-year-old case: Tense moments precede Purnea MP Pappu Yadav’s arrest in Patna
1262,"What is Bihar’s Gender Budget, and why did Nitish government spend Rs 2.5 lakh crore in 5 years?"
1263,"‘I’m going to the airport, Jai Mata Di’: Jharkhand man goes missing in Saudi Arabia after texting family"
1264,"70 Brahmins booked in Darbhanga, Bihar minister warns against ‘misuse’ of SC/ST Act: ‘Will affect social camaraderie’"
1265,"Tirupati laddu row: ‘Bathroom cleaning chemicals’ used in ghee, Chandrababu Naidu now claims"
1266,Om Birla: Over 19 hours wasted due to disruptions in Budget Session
1267,"‘We must find technological solutions’: Hailing BSF jawans at forward post, Amit Shah cautions about emerging challenges"
1268,Tamil Nadu sounds state-wide alert after mass crow deaths: What you need to know about the bird flu scare
1269,"‘Stark disappointment’, ‘anti-people’: J&K Opposition slams Omar’s Budget"
1270,‘National security not merely safeguarding borders…’: Rajnath Singh on importance of protecting ‘cultural foundations’
1271,"Future-ready push: Odisha to skill 7,000 youths in AI-driven finance"
1272,"6 free LPG cylinders, sponsorship for orphans: What Omar Abdullah govt’s Budget has in store for J-K"
1273,Madras High Court dismisses actor Vijay’s plea against Rs 1.5 crore income tax penalty
1274,Railways to discontinue UTS app from March 1; passengers to switch to RailOne for ticket booking
1275,Train connectivity in Kashmir: Railways prepare DPR for 158 km new lines – check route
1276,Parliamentary panel recommends review of ‘Superfast train’ benchmark
1277,"Uttar Pradesh SIR gets fourth extension, final roll to be published in April"
1278,"Inside Meghalaya’s rat-hole mines: 25 dead, a race against time, and a disaster long foretold"
1279,"3 year after it was notified to offset Panna deforestation, NBWL panel approves irrigation project on 272 ha in Durgavati tiger reserve"
1280,‘Fail to understand why speed of long distance trains hasn’t increased over the years’: Parliament panel to Railways
1281,"Gadchiroli anti-Naxal operation: Seven Maoists killed, injured jawan dies"
1282,"14-year criminal history, 10 murder cases: Bihar father-son duo held in Bengaluru ran contract killing, extortion gang"
1283,"‘Conduct unbecoming of civil servant’: Chhattisgarh DSP, accused by businessman of causing him Rs 2 crore losses, suspended"
1284,‘We’ll go with party decision’: VS Achuthanandan’s family puts ball in CPM court on accepting Padma Vibhushan
1285,J-K has tapped less than a quarter of its hydropower potential: Economic Survey
1286,"No Kuki-Zo MLAs physically in House, Manipur govt passes floor test; Churachandpur sees violent protests"
1287,"RBI Monetary Policy Meet 2026 LIVE: Fraud-hit customers will be compensated up to Rs 25,000, or 85% of amount"
1288,"Cameras, biometrics, 24/7 wardens: Bihar overhauls hostel safety after NEET aspirant’s death"
1289,"Indian Railways charging full fare from RAC passengers ‘not justified’, says Parliament panel; calls for partial refund"
1290,HAL to bid for licence manufacturing of 5th-gen fighter jet
1291,Agreement signed for Frontier Nagaland Territorial Authority
1292,"Rajasthan: As school where 7 died starts new chapter, many others ‘unsafe’, teachers pitch in"
1293,India has ‘significant potential’ to import more agri products: US
1294,Diversifying energy sourcing: MEA Jaishankar on Trump’s ‘India not to buy Russian oil’ claim
1295,‘Violation of House rules’: Congress to Om Birla on no reply by PM Modi
1296,"CPWD bought 405 air purifiers for Parliament, govt offices, SC in 4 years: Minister in Lok Sabha"
1297,‘Jo uchit samjha woh kiya… scared of truth’: Rahul takes jibe at Modi
1298,Post-facto green nod to 50 projects since 2021: Minister Vardhan Singh
1299,"72% of Air India Group fleet flagged for recurring defects, shows govt data"
1300,"72% of Air India Group fleet flagged for recurring defects, shows govt data"
1301,"Ola, Uber, Rapido drivers to go on strike on Feb 7: All you need to know about ‘All India Breakdown’"
1302,"Odisha youth, on a merchant ship as part of an internship, goes missing while at sea"
1303,"Can’t see me serving, so say Modi teri kabr khudegi: PM slams Congress"
1304,"US deportation list: Over 3,800 Indians deported from US in 2025. How many from China, Saudi Arabia? Check full list"
1305,"Don’t let your party to be held hostage by a ‘naive child’, Nadda tells Kharge amid Opposition uproar"
